imsProgGui[programName = imsr2aa.w, customer = Nextgen, description = Open orders to excel report, updates = , type = Reports]
imsProgGui[programName = imsb2ar.p, customer = PPD, description = Label Reprint - PO change, updates = , type = Barcoding]
imsProgGui[programName = imsb2as.p, customer = DA, description = Serial status inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2at.p, customer = DA, description = Clear produced flag, updates = , type = Barcoding]
imsProgGui[programName = imsb2au.p, customer = Toray, description = Misc label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2av.p, customer = Toray, description = Misc FG label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2aw.p, customer = Adkev, description = Production Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ax.p, customer = Tasus, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2ay.p, customer = Bright, description = Bright Raw Matl Label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2az.p, customer = Pliant, description = Mixed lot serial label, updates = , type = Barcoding]
imsProgGui[programName = imsb2ba.p, customer = Bright, description = Bright Master skid label program, updates = , type = Barcoding]
imsProgGui[programName = imsb2bb.p, customer = Medtech, description = FG/WIP lbl program, updates = , type = Barcoding]
imsProgGui[programName = imsb2bc.p, customer = Nypro, description = Misc label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2bd.p, customer = Adkev, description = Copy of old transfer program, updates = , type = Barcoding]
imsProgGui[programName = imsb2be.p, customer = Classic, description = Misc label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2bf.p, customer = Classic, description = Cross branch transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2bg.p, customer = Classic, description = Serial label reprint, updates = , type = Barcoding]
imsProgGui[programName = imsb2bh.p, customer = Classic, description = Batch Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2bi.p, customer = Classic, description = Rej, DT, Setup and Run hours entry, updates = , type = Barcoding]
imsProgGui[programName = imsb2bj.p, customer = Timmerije, description = Batch Prod Label Print, updates = , type = Barcoding]
imsProgGui[programName = imsb2bk.p, customer = Rowmark, description = Purch Item Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2bl.p, customer = Rowmark, description = Item Inquiry for Italy, updates = , type = Barcoding]
imsProgGui[programName = imsb2bm.p, customer = Rowmark, description = Label reprint - Italy, updates = , type = Barcoding]
imsProgGui[programName = imsb2bn.p, customer = Timmerije, description = Misc label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2bo.p, customer = Clarion, description = DT/Reject entry, updates = , type = Barcoding]
imsProgGui[programName = imsb2bp.p, customer = Clarion, description = Skid Consolidation, updates = , type = Barcoding]
imsProgGui[programName = imsb2bq.p, customer = Clarion, description = Void Serial, updates = , type = Barcoding]
imsProgGui[programName = imsb2br.p, customer = Next Gen, description = Release QC Hold, updates = , type = Barcoding]
imsProgGui[programName = imsb2bs.p, customer = Next Gen, description = Set QC Hold, updates = , type = Barcoding]
imsProgGui[programName = imsb2bt.p, customer = Next Gen, description = DC to Plant Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2bu.p, customer = Next Gen, description = Plant to DC transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2bv.p, customer = Clarion, description = Serial status inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2bw.p, customer = Next Gen, description = Load order pick, updates = , type = Barcoding]
imsProgGui[programName = imsb2bx.p, customer = CMG, description = Misc Label print - raw, updates = , type = Barcoding]
imsProgGui[programName = imsb2by.p, customer = Next Gen, description = Transfer to Outside Whse, updates = , type = Barcoding]
imsProgGui[programName = imsb2bz.p, customer = Next Gen, description = Rail Car Trans Ord, updates = , type = Barcoding]
imsProgGui[programName = imsb2ca.p, customer = WDP, description = WPD molded item label print (with IQMS interface), updates = , type = Barcoding]
imsProgGui[programName = imsb2cb.p, customer = WDP, description = WDP customer production scan - add QC item tcpip signal, updates = , type = Barcoding]
imsProgGui[programName = imsb2cc.p, customer = Next Gen, description = Ship Verify, updates = , type = Barcoding]
imsProgGui[programName = imsb2cd.p, customer = Classic, description = Historical Cert reprint, updates = , type = Barcoding]
imsProgGui[programName = imsb2ce.p, customer = WDP, description = Silo Resin Label, updates = , type = Barcoding]
imsProgGui[programName = imsb2cf.p, customer = Classic/Technimark, description = Issue to rework, updates = , type = Barcoding]
imsProgGui[programName = imsb2cg.p, customer = Classic/Technimark, description = Return from rework, updates = , type = Barcoding]
imsProgGui[programName = imsb2ch.p, customer = Next Gen, description = Send ASN to WMS, updates = , type = Barcoding]
imsProgGui[programName = imsb2ci.p, customer = Next Gen, description = Pallet split, updates = , type = Barcoding]
imsProgGui[programName = imsb2cj.p, customer = Classic/Technimark, description = Dreamstation Label, updates = , type = Barcoding]
imsProgGui[programName = imsb2ck.p, customer = Next Gen, description = Job quarantine release (Chiquita), updates = , type = Barcoding]
imsProgGui[programName = imsb2cl.p, customer = Timmerije, description = Unship Serial, updates = , type = Barcoding]
imsProgGui[programName = imsb2cm.p, customer = Timmerije, description = Void Serial, updates = , type = Barcoding]
imsProgGui[programName = imsb2cn.p, customer = Next Gen, description = Shipped pallet - PO label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2co.p, customer = WDP, description = Material Label reprint, updates = , type = Barcoding]
imsProgGui[programName = imsb2cp.p, customer = PPD, description = Ship Mult PO, updates = , type = Barcoding]
imsProgGui[programName = imsb2cq.p, customer = Next Gen, description = Shipped pallet - PO label print - EasyWMS, updates = , type = Barcoding]
imsProgGui[programName = imsb2cr.p, customer = Classic/Technimark, description = ICT Serial receipt, updates = , type = Barcoding]
imsProgGui[programName = imsb2cs.p, customer = Aroplax, description = Branch to Branch transfer (copy of imsb3lp), updates = , type = Barcoding]
imsProgGui[programName = imsb2ct.p, customer = Classic/Technimark, description = Serial label reprint - FG, updates = , type = Barcoding]
imsProgGui[programName = imsb2cu.p, customer = Wright Plastics, description = Custom Misc Label, updates = , type = Barcoding]
imsProgGui[programName = imsb2cv.p, customer = Classic/Technimark, description = Void Master w Carton, updates = , type = Barcoding]
imsProgGui[programName = imsb2cw.p, customer = Riverbend/Quantum, description = Master label print program (clone of wip/fg label print), updates = , type = Barcoding]
imsProgGui[programName = imsb2cx.p, customer = Riverbend/Quantum, description = Master label print program 2 (clone of misc label print), updates = , type = Barcoding]
imsProgGui[programName = imsb2cy.p, customer = WDP, description = Receiving w/Backflush-3, updates = , type = Barcoding]
imsProgGui[programName = imsb2cz.p, customer = Next Gen, description = Return receiving program (copy of imsb3fp), updates = , type = Barcoding]
imsProgGui[programName = imsb2da5.p, customer = Next Gen, description = Rail car for blythwood, updates = , type = Barcoding]
imsProgGui[programName = imsb2db.p, customer = Classic/Technimark, description = Production Label - no ctn number update, updates = , type = Barcoding]
imsProgGui[programName = imsb2dc.p, customer = DA, description = Late Production entry, updates = , type = Barcoding]
imsProgGui[programName = imsb2dd.p, customer = CMG, description = Return pallet, updates = , type = Barcoding]
imsProgGui[programName = imsb2de.p, customer = CMG, description = JIT Stock, updates = , type = Barcoding]
imsProgGui[programName = imsl2aa.p, customer = Horn, description = TRW Label, updates = None, type = Labeling]
imsProgGui[programName = imsl2ab.w, customer = Medtech, description = In House Label, updates = None, type = Labeling]
imsProgGui[programName = imsl2ac.w, customer = Tasus, description = Serialized Label, updates = None, type = Labeling]
imsProgGui[programName = imsl2ad.w, customer = Gary Plastics, description = Molding label print, updates = , type = Labeling]
imsProgGui[programName = imsl2ae.w, customer = Gary Plastics, description = Print/Assm/Foam label print, updates = , type = Labeling]
imsProgGui[programName = imsl2af.w, customer = Gary Plastics, description = Pick Ticket print, updates = , type = Labeling]
imsProgGui[programName = imsl2ag.w, customer = Tasus, description = Print at Press Labels, updates = , type = Labeling]
imsProgGui[programName = imsw2aa.p, customer = Gary Plastics, description = PO List , updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ab.p, customer = Gary Plastics, description = User Validation, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ac.p, customer = Gary Plastics, description = SO Summary List, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ad.p, customer = Gary Plastics, description = SO Detail List, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ae.p, customer = Gary Plastics, description = Invoice Summary List, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2af.p, customer = Gary Plastics, description = Invoice Detail List, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ag.p, customer = Gary Plastics, description = PO List - Invoices only, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ah.p, customer = Gary Plastics, description = Invoice Detail List by invoice, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ai.w, customer = Cornerstone, description = Sales order report filters, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2aix.p, customer = Cornerstone, description = Sales order report, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2aj.w, customer = Cornerstone, description = Inventory branch report filters, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ajx.p, customer = Cornerstone, description = Inventory branch report, updates = None, type = WebSpeed]
imsProgGui[programName = imsw2ak.w, customer = Cornerstone, description = Packing list update & Post, updates = PKG, type = WebSpeed]
imsProgGui[programName = imsw2al.w, customer = Gary Plastics, description = Order status update login screen, updates = , type = WebSpeed]
imsProgGui[programName = imsw2am.w, customer = Gary Plastics, description = Order status update, updates = , type = WebSpeed]
imsProgGui[programName = imsf2aa.p, customer = Rowmark, description = Pick label Maintenance, updates = , type = File Maint]
imsProgGui[programName = imsf2ab.w, customer = Cornerstone, description = Load released, updates = , type = File Maint]
imsProgGui[programName = imsf2ac.w, customer = Cornerstone, description = Appt Schedule, updates = , type = File Maint]
imsProgGui[programName = imsf2ad.w, customer = Cornerstone, description = Schedule Status, updates = , type = File Maint]
imsProgGui[programName = imsf2ae.w, customer = Cornerstone, description = Clear Lock Flags Lot/Location, updates = , type = File Maint]
imsProgGui[programName = imsf2af.w, customer = Gary Plastics, description = Schedule Entry, updates = , type = File Maint]
imsProgGui[programName = imsf2ag.w, customer = Northstar, description = Skip lot status - file maint - smart objects, updates = , type = File Maint]
imsProgGui[programName = imsf2ah.w, customer = Next Gen, description = Startup & Misc label print, updates = , type = File Maint]
imsProgGui[programName = imsf2ai.w, customer = Hunter, description = Compound lot release, updates = , type = File Maint]
imsProgGui[programName = imsf2aj.w, customer = Next Gen, description = Scrap Label, updates = , type = File Maint]
imsProgGui[programName = imsf2ak.w, customer = Toray, description = FG QC approval Screen, updates = , type = File Maint]
imsProgGui[programName = imsf2al.w, customer = WFB, description = Operator Dashboard, updates = , type = File Maint]
imsProgGui[programName = imsf2am.w, customer = WFB, description = Inspection Setup Question setup - smart objects, updates = , type = File Maint]
imsProgGui[programName = imsf2an.w, customer = WFB, description = Line Hopper material setup, updates = , type = File Maint]
imsProgGui[programName = imsf2ao.w, customer = WFB, description = Process leader dashboard, updates = , type = File Maint]
imsProgGui[programName = imsf2ap.w, customer = Toray, description = Trial/Non Conforming comment update, updates = , type = File Maint]
imsProgGui[programName = imsf2aq.w, customer = Next Gen, description = Silo Cost Table Maint, updates = , type = File Maint]
imsProgGui[programName = imsf2ar.w, customer = Next Gen, description = Product code setup - freq/password, updates = , type = File Maint]
imsProgGui[programName = imsf2as.w, customer = Next Gen, description = C of A Tests Entry, updates = , type = File Maint]
imsProgGui[programName = imsf2at.w, customer = Gary Plastics, description = Web status user table, updates = , type = File Maint]
imsProgGui[programName = imsf2au.w, customer = Next Gen, description = Start of shft/job sheet scan, updates = , type = File Maint]
imsProgGui[programName = imsf2av.w, customer = Classic, description = Maintenance for IMSCLLOT, updates = , type = File Maint]
imsProgGui[programName = imsf2aw.w, customer = Classic, description = Maintenance for IMSCLSNT, updates = , type = File Maint]
imsProgGui[programName = imsf2ax.w, customer = Next Gen, description = Roll & Carton label with scale interface, updates = , type = File Maint]
imsProgGui[programName = imsf2az.w, customer = Next Gen, description = Packing list print via Corvu, updates = , type = File Maint]
imsProgGui[programName = imsf2ba.w, customer = Next Gen, description = Load Build utility, updates = , type = File Maint]
imsProgGui[programName = imsf2bb.w, customer = Next Gen, description = Shipping label print utility, updates = , type = File Maint]
imsProgGui[programName = imsf2bc.w, customer = Classic, description = Metrology/Eng Input, updates = , type = File Maint]
imsProgGui[programName = imsf2bd.w, customer = Classic, description = Shift report samples, updates = , type = File Maint]
imsProgGui[programName = imsf2be.w, customer = Classic, description = Close Job, updates = , type = File Maint]
imsProgGui[programName = imsf2bf.w, customer = Next Gen, description = IMSNGIEX ADM Smart editor, updates = , type = File Maint]
imsProgGui[programName = imsf2bg.w, customer = CMG, description = IMSCGSNT, updates = , type = File Maint]
imsProgGui[programName = imsf2bh.w, customer = CMG, description = IMSCGLOT ADM browser, updates = , type = File Maint]
imsProgGui[programName = imsf2bi.w, customer = CMG, description = IMSCGSNT ADM browser, updates = , type = File Maint]
imsProgGui[programName = imsf2bj.w, customer = Next Gen, description = Rail car management, updates = , type = File Maint]
imsProgGui[programName = imsf2bk.w, customer = WFB, description = IMSWFCSO maintenance, updates = , type = File Maint]
imsProgGui[programName = imsf2bl.w, customer = Next Gen, description = Prod code / customer Notes maintenance, updates = , type = File Maint]
imsProgGui[programName = imsf2bm.w, customer = Next Gen, description = Station Class / Item throughput maintenance, updates = , type = File Maint]
imsProgGui[programName = imsf2bn.w, customer = WFB, description = WFB Volume LTL maintenance, updates = , type = File Maint]
imsProgGui[programName = imsf2bo.w, customer = Next Gen, description = IMSNGTML ADM browser - Trace Matl Loc table, updates = , type = File Maint]
imsProgGui[programName = imsf2bp.w, customer = Next Gen, description = Set / Clear phy lock, updates = , type = File Maint]
imsProgGui[programName = imsf2bq.w, customer = Next Gen, description = Rail car intransit info update, updates = , type = File Maint]
imsProgGui[programName = imsf2br.w, customer = Next Gen, description = Rail car receipt and label print, updates = , type = File Maint]
imsProgGui[programName = imsf2bs.w, customer = Next Gen, description = Bulk truck receipt / TO create, updates = , type = File Maint]
imsProgGui[programName = imsf2bt.w, customer = Next Gen, description = IMSNGGML ADM browser - Generic Matl Loc table, updates = , type = File Maint]
imsProgGui[programName = imsf2bu.w, customer = Next Gen, description = Material Trace - entry screen, updates = , type = File Maint]
imsProgGui[programName = imsf2bv.w, customer = Next Gen, description = Generic Matl substitution table maintenance (imsnggis), updates = , type = File Maint]
imsProgGui[programName = imsf2bw.w, customer = Classic, description = Readonly version of imsf2aw IMSCLSNT maint, updates = , type = File Maint]
imsProgGui[programName = imsf2bx.w, customer = Next Gen, description = IMSNGSOC ADM browser (station overhead cost), updates = , type = File Maint]
imsProgGui[programName = imsf2by.w, customer = Next Gen, description = C of C test maint ADM imsngcct, updates = , type = File Maint]
imsProgGui[programName = imsf2bz.w, customer = Next Gen, description = C of C item spec maint ADM imsngccs, updates = , type = File Maint]
imsProgGui[programName = imsf2ca.w, customer = Next Gen, description = C of C result maint ADM imsngccr, updates = , type = File Maint]
imsProgGui[programName = imsf2cb.w, customer = Next Gen, description = Pkg type table maint, updates = , type = File Maint]
imsProgGui[programName = imsf2cc.w, customer = Next Gen, description = Serial maintenance ADM imsngsnt, updates = , type = File Maint]
imsProgGui[programName = imsf2cd, customer = Timmerije, description = User def maint ADM iix, updates = , type = File Maint]
imsProgGui[programName = imsf2ce.w, customer = WPP, description = Serial report, updates = , type = File Maint]
imsProgGui[programName = imsf2cf.w, customer = Next Gen, description = Bulk Resin transfer, updates = , type = File Maint]
imsProgGui[programName = imsf2cg.w, customer = Next Gen, description = Rail car Silo phy ticket load, updates = , type = File Maint]
imsProgGui[programName = imsf2cr.w, customer = Classic, description = EOJ lot scan inquriy, updates = , type = File Maint]
imsProgGui[programName = imsf2cs.w, customer = Next Gen, description = Special notes maint ADM imsngrsn, updates = , type = File Maint]
imsProgGui[programName = imsf2ct.w, customer = Next Gen, description = returned pallet/carton serial file main ADM2 imsngrrl, updates = , type = File Maint]
imsProgGui[programName = imsu2aa.p, customer = IMS, description = UPS interface, updates = PKG, type = Utilities]
imsProgGui[programName = imsu2ab.w, customer = Rowmark, description = IIX User define-4 update with prefixed PN, updates = IIX, type = Utilities]
imsProgGui[programName = imsu2ac.w, customer = Rowmark, description = Audit extract to Excel, updates = IAU  , type = Utilities]
imsProgGui[programName = imsu2ad.w, customer = Rowmark, description = Update quick ship for sublimation, updates = IIB, type = Utilities]
imsProgGui[programName = imsu2ae.w, customer = Tasus, description = Shipment Post, updates = create-pl, type = Utilities]
imsProgGui[programName = imsu2af.w, customer = Tasus, description = Serial upload, updates = Serial upload, type = Utilities]
imsProgGui[programName = imsu2ag.w, customer = Clarion, description = Redi 850 Upload, updates = , type = Utilities]
imsProgGui[programName = imsu2ah.w, customer = Gary Plastics, description = Ship Ack extract to fax, updates = , type = Utilities]
imsProgGui[programName = imsu2ai.w, customer = DA Inc, description = Quick default set utility, updates = IIB, type = Utilities]
imsProgGui[programName = imsu2aj.w, customer = DA Inc, description = Serial set/reset utility, updates = IMSDASNT, type = Utilities]
imsProgGui[programName = imsu2ak.w, customer = Gary Plastics, description = Set fax thru date for Inv fax program - imsu3bh, updates = PAR, type = Utilities]
imsProgGui[programName = imsu2al.w, customer = Rowmark, description = Set check inventory balance - iiv comment, updates = IIV, type = Utilities]
imsProgGui[programName = imsu2am.w, customer = Northstar, description = MRR/ETR Status Update, updates = , type = Utilities]
imsProgGui[programName = imsu2an.p, customer = Carthage, description = Manifest P/L post update - called by TMM PKG post, updates = , type = Utilities]
imsProgGui[programName = imsu2ao.p, customer = Carthage, description = Manifest P/L unpost update - called by TMM PKG post, updates = , type = Utilities]
imsProgGui[programName = imsu2ap.w, customer = Adkev, description = Fix serial info - , updates = , type = Utilities]
imsProgGui[programName = imsu2aq.p, customer = Gary Plastics, description = EPSA PO Status extract, updates = , type = Utilities]
imsProgGui[programName = imsu2ar.w, customer = Everybody, description = Show lock utility, updates = VST lock table, type = Utilities]
imsProgGui[programName = imsu2as.p, customer = Gary Plastics, description = EPSA  ASN extract, updates = , type = Utilities]
imsProgGui[programName = imsu2at.p, customer = Norseman, description = Unscanned Label report, updates = , type = Utilities]
imsProgGui[programName = imsu2au.w, customer = Medtech, description = Manual IMR Upload, updates = , type = Utilities]
imsProgGui[programName = imsu2av.w, customer = Timmerije, description = iib udf field update, updates = IIB, type = Utilities]
imsProgGui[programName = imsu2aw.p, customer = Classic, description = JVSF transfer in to intransit - called by TMMPKG post, updates = , type = Utilities]
imsProgGui[programName = imsu2ax.p, customer = Classic, description = JVSF transfer out of  intransit - called by TMMPKG unpost, updates = , type = Utilities]
imsProgGui[programName = imsu2ay.p, customer = Nextgen, description = Line Status HTML/XML, updates = , type = Utilities]
imsProgGui[programName = imsu2az.w, customer = Timmerije, description = Vendor Pick List Maint, updates = , type = Utilities]
imsProgGui[programName = imsu2ba.w, customer = Northstar, description = Plantstar interface, updates = , type = Utilities]
imsProgGui[programName = imsu2bb.w, customer = Nextgen, description = Pro Number Maintenance, updates = , type = Utilities]
imsProgGui[programName = imsu2bc.w, customer = Custom Molders, description = Kiosk serial scan, updates = , type = Utilities]
imsProgGui[programName = imsu2bd.w, customer = Classic, description = Project cost update, updates = , type = Utilities]
imsProgGui[programName = imsu2be.w, customer = Nextgen, description = STI Build utility, updates = , type = Utilities]
imsProgGui[programName = imsu2bf.w, customer = Nextgen, description = STI Default station update, updates = , type = Utilities]
imsProgGui[programName = imsu2bg.w, customer = Nextgen, description = Resin Analysis Extract, updates = , type = Utilities]
imsProgGui[programName = imsu2bh.p, customer = Nextgen, description = Void old carton serials, updates = , type = Utilities]
imsProgGui[programName = imsu2bi.w, customer = Nextgen, description = Price update utility, updates = , type = Utilities]
imsProgGui[programName = imsu2bj.w, customer = Nextgen, description = Item / Prod code change set/clear, updates = , type = Utilities]
imsProgGui[programName = imsu2bk.w, customer = Timmerije, description = Customer order upload utility, updates = , type = Utilities]
imsProgGui[programName = imsu2bl.w, customer = Nextgen, description = Batch BOM 7xx copy - call to bmqu34, updates = , type = Utilities]
imsProgGui[programName = imsu2bm.w, customer = Nextgen, description = Update silo balances from eBob Data, updates = , type = Utilities]
imsProgGui[programName = imsu2bn.w, customer = Nextgen, description = Open Order Dashboard, updates = , type = Utilities]
imsProgGui[programName = imsu2bo.w, customer = Manar, description = Forecast Order upload, updates = , type = Utilities]
imsProgGui[programName = imsu2bp.w, customer = Nextgen, description = Infinity Spec update utility, updates = , type = Utilities]
imsProgGui[programName = imsu2bq.w, customer = CMG, description = Skid Placard invoice utility, updates = , type = Utilities]
imsProgGui[programName = imsu2br.p, customer = WDP, description = Weekly cumm extract, updates = , type = Utilities]
imsProgGui[programName = imsu2bs.w, customer = WDP, description = Leadtime inquiry / report, updates = , type = Utilities]
imsProgGui[programName = imsu2bt.w, customer = DA Inc, description = Upload std run rate to STI string-2 field, updates = , type = Utilities]
imsProgGui[programName = imsu2bu.w, customer = Nextgen, description = C of A item spec update utility, updates = , type = Utilities]
imsProgGui[programName = imsu2bv.w, customer = Nextgen, description = Outside whse shipment import, updates = , type = Utilities]
imsProgGui[programName = imsu2bw.w, customer = Nextgen, description = Outside whse receipt, updates = , type = Utilities]
imsProgGui[programName = imsu2bx.p, customer = WDP, description = Daily cumm extract, updates = , type = Utilities]
imsProgGui[programName = imsu2by.w, customer = WDP, description = BMQ update from CSV, updates = , type = Utilities]
imsProgGui[programName = imsu2bz.w, customer = Nextgen, description = Manual C of A data generation, updates = , type = Utilities]
imsProgGui[programName = imsu2ca.w, customer = Nextgen, description = Item pkg spec maintenance, updates = , type = Utilities]
imsProgGui[programName = imsu2cb.w, customer = Nextgen, description = SBS reconciliation, updates = , type = Utilities]
imsProgGui[programName = imsu2cc.w, customer = WDP, description = IIB update from CSV, updates = , type = Utilities]
imsProgGui[programName = imsu2cd.p, customer = Timmerije, description = Download TIG SR data, updates = , type = Utilities]
imsProgGui[programName = imsu2ce.w, customer = Fivestar, description = Dump to IQMS, updates = , type = Utilities]
imsProgGui[programName = imsu2cf.p, customer = Nextgen, description = EMPF1 upload from ADP, updates = , type = Utilities]
imsProgGui[programName = imsu2cg.w, customer = Fivestar, description = Dump CST to IQMS, updates = , type = Utilities]
imsProgGui[programName = imsu2ch.w, customer = Manar, description = Row order upload, updates = , type = Utilities]
imsProgGui[programName = imsu2ci.w, customer = Classic, description = Lot PO update, updates = , type = Utilities]
imsProgGui[programName = imsu2cj.p, customer = CMG, description = Replacement loc - batch pl build, updates = , type = Utilities]
imsProgGui[programName = imsu2ck.w, customer = WFB, description = Load QC question required flags, updates = , type = Utilities]
imsProgGui[programName = imsu2cl.w, customer = Nextgen, description = IIX char-user-def-1 update, updates = , type = Utilities]
imsProgGui[programName = imsu2cm.w, customer = CMG, description = Delete Billing PL, updates = , type = Utilities]
imsProgGui[programName = imsu2cn.w, customer = WDP, description = FG Label print service, updates = , type = Utilities]
imsProgGui[programName = imsu2co.w, customer = Timmerije, description = Run Hydra order export, updates = , type = Utilities]
imsProgGui[programName = imsu2cp.w, customer = Timmerije, description = Import time tickets from Hydra, updates = , type = Utilities]
imsProgGui[programName = imsu2cq.w, customer = CMG, description = Shipping external warehouse, updates = , type = Utilities]
imsProgGui[programName = imsu2cr.w, customer = Timmerije, description = Import goods receipts from Hydra, updates = , type = Utilities]
imsProgGui[programName = imsu2cs.p, customer = Timmerije, description = Batch Import time tickets (run as sched task), updates = , type = Utilities]
imsProgGui[programName = imsu2ct.p, customer = Timmerije, description = Batch Import good reciept (run as sched task), updates = , type = Utilities]
imsProgGui[programName = imsu2cu.p, customer = WDP, description = Auto cycle count - component dispencers, updates = , type = Utilities]
imsProgGui[programName = imsu2cv.p, customer = WDP, description = PCB Reject backflush, updates = , type = Utilities]
imsProgGui[programName = imsu2cw.p, customer = Nextgen, description = Set / Clear Phy Inv Lock flag, updates = , type = Utilities]
imsProgGui[programName = imsu2cx.p, customer = Nextgen, description = SMT Creator (Charter label print), updates = , type = Utilities]
imsProgGui[programName = imsu2cy.w, customer = Northstar, description = Copy bat serial prefix iix to iib, updates = , type = Utilities]
imsProgGui[programName = imsu2cz.w, customer = DA Inc, description = Move sta.user-def-4 to to sta.char-usr-def1, updates = , type = Utilities]
imsProgGui[programName = imsu2da.w, customer = Nextgen, description = PO open line acct fix utility, updates = , type = Utilities]
imsProgGui[programName = imsu2db.w, customer = Labcon, description = Ship-to addr update utility, updates = , type = Utilities]
imsProgGui[programName = imsu2dc.w, customer = CMG, description = Unship pallet from billing p/l, updates = , type = Utilities]
imsProgGui[programName = imsu2dd.p, customer = WDP, description = PCB S/R import, updates = , type = Utilities]
imsProgGui[programName = imsu2de.p, customer = Nextgen, description = Copy 10 to 15 parameter reset, updates = , type = Utilities]
imsProgGui[programName = imsu2df.w, customer = Nextgen, description = Lock TMM users accounts, updates = , type = Utilities]
imsProgGui[programName = imsu2dg.p, customer = CMG, description = TCP Service, updates = , type = Utilities]
imsProgGui[programName = imsu2dh.p, customer = Nextgen, description = Erema Silo Adjust, updates = , type = Utilities]
imsProgGui[programName = imsu2di.p, customer = Timmerije, description = Missing station S/R utility, updates = , type = Utilities]
imsProgGui[programName = imsu2dj.p, customer = WPD, description = PO receipt import utility, updates = , type = Utilities]
